Date,MT_311
2011-01-01,125.26011853502867
2011-01-02,150.06065527751042
2011-01-03,141.93615656079564
2011-01-04,147.13316089188325
2011-01-05,148.73145251844724
2011-01-06,140.133642123837
2011-01-07,149.15603946102024
2011-01-08,152.25056143727943
2011-01-09,145.99143808148858
2011-01-10,142.50120307988456
2011-01-11,142.7952558549888
2011-01-12,146.3244906961822
2011-01-13,143.9782844080848
2011-01-14,144.33730349695222
2011-01-15,150.46478986204684
2011-01-16,146.03675409047165
2011-01-17,142.99356352261788
2011-01-18,144.2368463265961
2011-01-19,139.7287054860443
2011-01-20,139.97393326916907
2011-01-21,141.12999278152066
2011-01-22,146.93234680782803
2011-01-23,144.3722930702599
2011-01-24,139.88570741097206
2011-01-25,141.490816490215
2011-01-26,142.18649743342965
2011-01-27,142.981833493744
2011-01-28,145.15800449149825
2011-01-29,148.19126965030478
2011-01-30,143.32862127045235
2011-01-31,138.0138153673404
2011-02-01,139.43876323387872
2011-02-02,144.01247192813602
2011-02-03,137.59584536413215
2011-02-04,141.59738931665066
2011-02-05,153.4406079563683
2011-02-06,153.66688723131213
2011-02-07,148.7682467115817
2011-02-08,150.00240615976904
2011-02-09,155.0662696503048
2011-02-10,147.09075232595444
2011-02-11,150.7717757459096
2011-02-12,155.69929018286814
2011-02-13,151.45672922682064
2011-02-14,146.44169072826438
2011-02-15,147.52636750080208
2011-02-16,145.07980429900542
2011-02-17,146.4138193776067
2011-02-18,149.7248957330767
2011-02-19,157.5628609239654
2011-02-20,153.42426612127045
2011-02-21,147.41738851459738
2011-02-22,146.10021655437927
2011-02-23,145.98522216875205
2011-02-24,142.86272858517802
2011-02-25,150.84907362848892
2011-02-26,152.6568014116137
2011-02-27,148.89878087905038
2011-02-28,145.3270372152711
2011-03-01,133.115375360924
2011-03-02,135.55542188001283
2011-03-03,137.05465992941933
2011-03-04,135.44243262752647
2011-03-05,140.93128408726335
2011-03-06,137.5909327879371
2011-03-07,136.56109640680145
2011-03-08,138.2532282643568
2011-03-09,136.08367420596733
2011-03-10,137.50190487648382
2011-03-11,138.35809672762272
2011-03-12,150.25595524542834
2011-03-13,141.848732755855
2011-03-14,138.17111806223934
2011-03-15,139.31875601539943
2011-03-16,136.69253288418352
2011-03-17,134.2475737888996
2011-03-18,134.52538498556308
2011-03-19,140.7068094321463
2011-03-20,140.28081889637477
2011-03-21,131.55337664420915
2011-03-22,131.90096647417394
2011-03-23,132.23602422200835
2011-03-24,133.09211581649026
2011-03-25,139.9954884504331
2011-03-26,144.82695700994546
2011-03-27,141.2674446583253
2011-03-28,134.5472409367982
2011-03-29,133.86940567853702
2011-03-30,135.42990054539624
2011-03-31,138.14515158806543
2011-04-01,142.5831127686878
2011-04-02,146.24649101700354
2011-04-03,142.13306063522617
2011-04-04,134.0296158164902
2011-04-05,135.16161373115176
2011-04-06,144.75948427975618
2011-04-07,144.04525585498874
2011-04-08,145.80706608918834
2011-04-09,151.9762592236125
2011-04-10,147.11511469361565
2011-04-11,140.2359039140199
2011-04-12,144.02069297401343
2011-04-13,145.8880734680783
2011-04-14,144.19814725697788
2011-04-15,147.38871511068334
2011-04-16,146.82136268848245
2011-04-17,144.6005774783446
2011-04-18,144.65431504651912
2011-04-19,144.75697786333015
2011-04-20,144.88129611806224
2011-04-21,146.4022898620468
2011-04-22,146.62094963105545
2011-04-23,156.82296679499518
2011-04-24,136.68350978504972
2011-04-25,150.03338546679498
2011-04-26,140.43000080205323
2011-04-27,138.78398700673722
2011-04-28,136.42695299967917
2011-04-29,143.28801732435034
2011-04-30,147.63675008020533
2011-05-01,142.29928617260188
2011-05-02,139.3595604748155
2011-05-03,139.0790423484119
2011-05-04,138.7072906641001
2011-05-05,139.39214388835418
2011-05-06,142.72186798203404
2011-05-07,148.64954282964393
2011-05-08,142.8074871671479
2011-05-09,138.29373195380177
2011-05-10,145.22858517805585
2011-05-11,148.02755052935518
2011-05-12,148.89467035611162
2011-05-13,153.16620548604428
2011-05-14,153.79210779595766
2011-05-15,147.81159769008664
2011-05-16,142.23452037215264
2011-05-17,148.78539059993582
2011-05-18,144.95277911453317
2011-05-19,147.44475858196986
2011-05-20,154.367781520693
2011-05-21,158.43499358357397
2011-05-22,154.41510266281685
2011-05-23,148.83622072505614
2011-05-24,150.8510787616298
2011-05-25,158.79681985883866
2011-05-26,153.25413057427014
2011-05-27,155.19800689765802
2011-05-28,161.00457170356117
2011-05-29,153.80433910811678
2011-05-30,149.44868864292593
2011-05-31,150.09163458453642
2011-06-01,146.57934311838304
2011-06-02,148.53003689444984
2011-06-03,152.66522297080527
2011-06-04,157.33166907282643
2011-06-05,155.8013514597369
2011-06-06,147.77610683349377
2011-06-07,138.5550008020533
2011-06-08,138.6238771254411
2011-06-09,139.83397497593842
2011-06-10,144.53952117420596
2011-06-11,146.13741177414178
2011-06-12,144.24215992941933
2011-06-13,143.05722649983957
2011-06-14,142.8135025665704
2011-06-15,142.7585619185114
2011-06-16,141.79218800128334
2011-06-17,136.17380494064807
2011-06-18,146.5437520051331
2011-06-19,147.94473853063843
2011-06-20,148.9869064805903
2011-06-21,144.76008581969842
2011-06-22,142.09436156560795
2011-06-23,142.34951475777996
2011-06-24,149.4764597369266
2011-06-25,159.5441329804299
2011-06-26,161.71940166827082
2011-06-27,154.10470805261474
2011-06-28,150.02967597048445
2011-06-29,150.06777350016043
2011-06-30,155.81067532884182
2011-07-01,153.93186557587427
2011-07-02,157.17376483798526
2011-07-03,141.7371470965672
2011-07-04,141.25340872633942
2011-07-05,147.60857795957656
2011-07-06,147.88157683670198
2011-07-07,143.81697144690403
2011-07-08,146.78817773500154
2011-07-09,146.23446021815855
2011-07-10,140.59181504651912
2011-07-11,144.38061437279438
2011-07-12,147.74542829643892
2011-07-13,148.17994064805902
2011-07-14,152.3721727622714
2011-07-15,155.6447505614373
2011-07-16,146.30824911774138
2011-07-17,141.68721928136023
2011-07-18,133.67831649021494
2011-07-19,136.9438763233879
2011-07-20,139.3700874238049
2011-07-21,137.1268447224896
2011-07-22,143.382659608598
2011-07-23,152.33778472890603
2011-07-24,144.67216073147256
2011-07-25,143.73526227141483
2011-07-26,153.6388153673404
2011-07-27,143.2141281681104
2011-07-28,143.52221687520046
2011-07-29,143.29954683991016
2011-07-30,145.66410009624636
2011-07-31,144.40597930702597
2011-08-01,138.01963025344887
2011-08-02,139.74695219762592
2011-08-03,139.31765319217197
2011-08-04,140.3823788899583
2011-08-05,141.80983317292268
2011-08-06,144.57571382739818
2011-08-07,139.97042428617263
2011-08-08,137.1174205967276
2011-08-09,138.82659608598013
2011-08-10,142.11681905678537
2011-08-11,144.17568976580043
2011-08-12,146.419333493744
2011-08-13,146.9484881296118
2011-08-14,142.93711902470326
2011-08-15,145.16742861726016
2011-08-16,143.27047240936795
